id	lat	lon	title	description	icon	iconSize	iconOffset
1	56.8549398158	53.2188454829	Удмуртская Республика	г.Ижевск, пл. 50 лет Октября, д.15	/static/images/tik.png	18,32	-9,-32
2	56.856702	53.174075	Ижевск (Индустриальный район)	Удмуртская Республика, город Ижевск, Воткинское Шоссе, 66	/static/images/tik.png	18,32	-9,-32
3	56.856702	53.174075	Ижевск (Ленинский район)	Удмуртская Республика, город Ижевск, Ленинский район, Азина, 146	/static/images/tik.png	18,32	-9,-32
4	56.856702	53.174075	Ижевск (Октябрьский район)	г. Ижевск, ул.Песочная, д.2/1	/static/images/tik.png	18,32	-9,-32
5	56.856702	53.174075	Ижевск (Первомайский район)	г.Ижевск, ул.Пушкинская, д.150	/static/images/tik.png	18,32	-9,-32
6	56.1891697866	52.4792473018	Алнашский район	Удмуртская Республика, Алнашский район, с.Алнаши, Комсомольская, 8	/static/images/tik.png	18,32	-9,-32
7	57.978605	53.004033	Балезинский район	Удмуртская Республика, посёлок Балезино, ул. Кирова, д.2	/static/images/tik.png	18,32	-9,-32
8	56.772927	51.929424	Вавожский район	Удмуртская Республика, Вавожский район, село Вавож, Интернациональная, 45а	/static/images/tik.png	18,32	-9,-32
9	57.036426	53.963236	Воткинский район	Удмуртская Республика, г.Воткинск, ул.Красноармейская, д.43а	/static/images/tik.png	18,32	-9,-32
10	58.137661	52.63735	Глазовский район	Удмуртская Республика, город Глазов, ул.Молодой Гвардии, д.22А	/static/images/tik.png	18,32	-9,-32
11	57.036426	53.963236	Воткинск	Удмуртская Республика, город Воткинск, улица Ленина, 7	/static/images/tik.png	18,32	-9,-32
12	58.137661	52.63735	Глазов	Удмуртская Республика, город Глазов, ул.Динамо, д.6	/static/images/tik.png	18,32	-9,-32
13	56.449364	52.21843	Можги	Удмуртская Республика, город Можга, Можгинская, 59	/static/images/tik.png	18,32	-9,-32
14	56.465644	53.775785	Сарапул	Удмуртская Республика, город Сарапул, Красная Площадь, 8	/static/images/tik.png	18,32	-9,-32
15	56.048118	51.965069	Граховский район	427730 Удмуртская Республика, с. Грахово, ул. Ачинцева, д.5	/static/images/tik.png	18,32	-9,-32
16	57.65108	53.804522	Дебесский район	Удмуртская Республика, Дебесский район, с.Дебесы, ул.Советская, д.88	/static/images/tik.png	18,32	-9,-32
17	56.791201	53.375163	Завьяловский район	Удмуртская Республика, с.Завьялово, Калинина, 64	/static/images/tik.png	18,32	-9,-32
18	57.5542816112	53.0413566716	Игринский район	Удмуртская Реcпублика, Игринский район, пгт.Игра, ул.Советская, д.29	/static/images/tik.png	18,32	-9,-32
19	56.013417	53.708636	Каракулинский район	Удмуртская Республика, Каракулинский район, село Каракулино, улица Каманина, 10	/static/images/tik.png	18,32	-9,-32
20	57.897529	53.709579	Кезский район	Удмуртская Республика, Кезский район, п.Кез, ул.Кирова, д.5	/static/images/tik.png	18,32	-9,-32
21	56.284044	51.519451	Кизнерский район	Удмуртская Республика, поселок Кизнер, Карла Маркса, 21	/static/images/tik.png	18,32	-9,-32
22	56.344366	53.124399	Киясовский район	Удмуртская Республика, Киясовский район, с. Киясово, Красная, 2	/static/images/tik.png	18,32	-9,-32
23	57.70606	52.494886	Красногорский район	Удмуртская Республика, Красногорский район, с. Красногорское, ул.Ленина, д.64	/static/images/tik.png	18,32	-9,-32
24	56.55367	52.991143	Малопургинский район	Удмуртская Республика, Малопургинский район, с. Малая Пурга, пл. Победы, д. 1	/static/images/tik.png	18,32	-9,-32
25	56.449364	52.21843	Можгинский район	Удмуртская Республика, Можгинский район, г.Можга, Можгинская, 59	/static/images/tik.png	18,32	-9,-32
26	56.4263747477	53.7793899514	Сарапульский район	Удмуртская Республика, Сарапульский район, село Сигаево, Лермонтова, 30	/static/images/tik.png	18,32	-9,-32
27	57.311117	52.120208	Селтинский район	Удмуртская Республика, с.Селты, ул. Юбилейная, д.3	/static/images/tik.png	18,32	-9,-32
28	57.111175	51.619334	Сюмсинский район	Удмуртская Республика, Сюмсинский район, село Сюмси, ул. Советская, 45	/static/images/tik.png	18,32	-9,-32
29	56.988002	52.181787	Увинский район	Удмуртская Республика, Увинский район, поселок Ува, улица Калинина, 19	/static/images/tik.png	18,32	-9,-32
30	57.299925	53.86885	Шарканский район	Удмуртская Республика, Шарканский район, с.Шаркан, ул.Ленина, д.14	/static/images/tik.png	18,32	-9,-32
31	57.893319	52.243223	Юкаменский район	Удмуртская Республика, Юкаменский район, с.Юкаменское, ул.Первомайская, д.9	/static/images/tik.png	18,32	-9,-32
32	57.183002	53.165829	Якшур-Бодьинский район	Удмуртская Республика, Якшур-Бодьинский район, с.Якшур-Бодья, ул.Пушиной, д.69	/static/images/tik.png	18,32	-9,-32
33	58.2391187082	52.1153090894	Ярский район	Удмуртская Республика, Ярский район, поселок Яр, ул.Советская, д.55	/static/images/tik.png	18,32	-9,-32
34	56.856702	53.174075	Ижевск (Устиновский район)	Удмуртская Республика, г.Ижевск, ул.40 лет Победы, д.60А	/static/images/tik.png	18,32	-9,-32
35	56.269321	54.206976	Камбарский район	Камбарский район, г.Камбарка, ул.Советская, д.18	/static/images/tik.png	18,32	-9,-32
36	55.021653	82.924894	Новосибирская область	город Новосибирск, Красный проспект, 18	/static/images/tik.png	18,32	-9,-32
37	55.448066	78.32455	Куйбышевский район	Куйбышевский район, г. Куйбышев, Краскома, 37	/static/images/tik.png	18,32	-9,-32
38	54.096752	77.665591	Баганский район	Баганский район, с.Баган, Максима Горького, 28	/static/images/tik.png	18,32	-9,-32
39	55.3447	78.34063	Барабинский район	Барабинский район, город Барабинск, Островского, 8	/static/images/tik.png	18,32	-9,-32
40	55.66864	84.389921	Болотнинский район	Болотнинский район, город Болотное, Советская, 9	/static/images/tik.png	18,32	-9,-32
41	55.683041	76.754546	Венгеровский район	село Венгерово, Ленина, 68	/static/images/tik.png	18,32	-9,-32
42	54.773782	83.083258	Бердск	город Бердск, Максима Горького, 9	/static/images/tik.png	18,32	-9,-32
43	54.625223	83.301306	Искитим	город Искитим, Пушкина, 51	/static/images/tik.png	18,32	-9,-32
44	54.99947	82.699848	Обь	город Обь, Авиационная, 12	/static/images/tik.png	18,32	-9,-32
45	55.050958	82.967016	Новосибирск (Дзержинский район)	город Новосибирск, Дзержинский район, пр. Дзержинского, 16	/static/images/tik.png	18,32	-9,-32
46	54.485533	79.662851	Доволенский район	Доволенский район, село Довольное, Ленина, 106	/static/images/tik.png	18,32	-9,-32
47	55.033047	82.901197	Новосибирск (Железнодорожный район)	город Новосибирск, Железнодорожный район, Ленина, 57	/static/images/tik.png	18,32	-9,-32
48	55.060529	82.919055	Новосибирск (Заельцовский район)	город Новосибирск, Заельцовский район, Дуси Ковальчук, 272/1	/static/images/tik.png	18,32	-9,-32
49	54.702266	78.663547	Здвинский район	Здвинский район, с.Здвинск, Мира, 13	/static/images/tik.png	18,32	-9,-32
50	54.625223	83.301306	Искитимский район	Искитимский район, город Искитим, Пушкина, 51	/static/images/tik.png	18,32	-9,-32
51	55.065241	82.935899	Новосибирск (Калининский район)	г. Новосибирск, Калинский район, Богдана Хмельницкого, 2	/static/images/tik.png	18,32	-9,-32
52	53.735002	78.041877	Карасукский район	Карасукский район, город Карасук, Октябрьская, 39	/static/images/tik.png	18,32	-9,-32
53	55.194172	80.276068	Каргатский район	Каргатский район, город Каргат, Советская, 122	/static/images/tik.png	18,32	-9,-32
54	54.941125	82.901053	Новосибирск (Кировский район)	город Новосибирск, Кировский район, Петухова, 18	/static/images/tik.png	18,32	-9,-32
55	55.309725	82.739006	Колыванский район	Колыванский район, р.п.Колывань., ул.Ленина, д.79	/static/images/tik.png	18,32	-9,-32
56	55.019202	82.206314	Коченевский район	Коченевский район, р.п.Коченево, Октябрьская, 43	/static/images/tik.png	18,32	-9,-32
57	54.332381	80.487073	Кочковский район	Кочковский район, с. Кочки, Революционная, 11	/static/images/tik.png	18,32	-9,-32
58	53.981109	79.2457	Краснозерский район	Краснозерский район, р.п.Краснозерское, Чкалова, 5	/static/images/tik.png	18,32	-9,-32
59	54.357049	77.298593	Купинский район	Купинский район, г.Купино, Советов, 85	/static/images/tik.png	18,32	-9,-32
60	56.556894	76.624398	Кыштовский район	Кыштовский район, село Кыштовка, Ленина, 38	/static/images/tik.png	18,32	-9,-32
61	54.986661	82.87007	Новосибирск (Ленинский район)	город Новосибирск, Ленинский район, ул.Станиславского, 6А	/static/images/tik.png	18,32	-9,-32
62	54.340067	84.195615	Маслянинский район	Маслянинский район, р.п.Маслянино, Коммунистическая, 1А	/static/images/tik.png	18,32	-9,-32
63	55.303632	83.593313	Мошковский район	рабочий поселок Мошково, Советская, 9	/static/images/tik.png	18,32	-9,-32
64	55.015521	82.939591	Новосибирск (Октябрьский район)	город Новосибирск, Октябрьский район, Сакко и Ванцетти, 33	/static/images/tik.png	18,32	-9,-32
65	54.359016	81.896575	Ордынский район	Ордынский район, р.п. Ордынское, пр. Революции, 17	/static/images/tik.png	18,32	-9,-32
66	54.973507	83.085118	Новосибирск (Первомайский район)	город Новосибирск, Первомайский район, Физкультурная, 7	/static/images/tik.png	18,32	-9,-32
67	56.346965	78.353961	Северный район	Северный район, с. Северное, Ленина, 14	/static/images/tik.png	18,32	-9,-32
68	54.845482	83.110423	Новосибирск (Советский район)	город Новосибирск, Советский район, пр. Лаврентьева, 14	/static/images/tik.png	18,32	-9,-32
69	53.792726	82.312144	Сузунский район	Сузунский район, р.п.Сузун, ул.Ленина, №51	/static/images/tik.png	18,32	-9,-32
70	55.21805	75.963912	Татарский район	Татарский район, город Татарск, Ленина, 56	/static/images/tik.png	18,32	-9,-32
71	55.242222	84.384657	Тогучинский район	Тогучинский район, город Тогучин, Садовая, 9	/static/images/tik.png	18,32	-9,-32
72	55.023356	82.919127	Новосибирск (Центральный район)	город Новосибирск, Центральный район, Коммунистическая, 33А	/static/images/tik.png	18,32	-9,-32
73	55.30046	79.675481	Убинский район	Убинский район, село Убинское, Ленина, 23	/static/images/tik.png	18,32	-9,-32
74	55.566206	75.695828	Усть-Таркский район	Усть-Таркский район, с. Усть-Тарка, пр.Дзержинского, 7	/static/images/tik.png	18,32	-9,-32
75	55.30872	76.764607	Чановский район	Чановский район, рабочий поселок Чаны, Советская, 118	/static/images/tik.png	18,32	-9,-32
76	54.220874	83.37248	Черепановский район	Черепановский район, г. Черепаново, Партизанская (здание администрации района), 12	/static/images/tik.png	18,32	-9,-32
77	54.707853	76.575683	Чистоозерный район	Чистоозерный район, рабочий поселок Чистоозерное, Покрышкина, 11	/static/images/tik.png	18,32	-9,-32
78	55.0925043094	80.9520979598	Чулымский район	Чулымский район, г.Чулым, Чулымская, 43	/static/images/tik.png	18,32	-9,-32
79	54.938208	83.18007	Кольцово	рабочий поселок Кольцово	/static/images/tik.png	18,32	-9,-32
80	55.022164	82.924948	Новосибирский район	город Новосибирск, Свердлова, 14	/static/images/tik.png	18,32	-9,-32
81	55.7981550056	49.1049147025	Республика Татарстан	г.Казань, Кремль, 3	/static/images/tik.png	18,32	-9,-32
82	55.8319847463	49.1023340821	Казань (Авиастроительный район)	Республика Татарстан (Татарстан), город Казань, Ново-Савиновский район, ул.Волгоградская, д.32	/static/images/tik.png	18,32	-9,-32
83	55.7631834665	52.4207496643	Набережные Челны (Автозаводский район)	Республика Татарстан (Татарстан), город Набережные Челны, Автозаводский район, ул.Шамиля Усманова, д.112	/static/images/tik.png	18,32	-9,-32
84	56.51889	53.002713	Агрызский район	Республика Татарстан (Татарстан), Агрызский район, г.Агрыз, ул.Гагарина, 13	/static/images/tik.png	18,32	-9,-32
85	54.8569277379	53.0787900835	Азнакаевский район	Республика Татарстан (Татарстан), Азнакаевский район, ул.Ленина, д.22	/static/images/tik.png	18,32	-9,-32
86	54.8439955451	50.8030703478	Аксубаевский район	Республика Татарстан (Татарстан), Аксубаевский район, п.г.т.Аксубаево, ул.Ленина, д.10	/static/images/tik.png	18,32	-9,-32
87	55.717208	54.070513	Актанышский район	Республика Татарстан (Татарстан), Актанышский район, с.Актаныш, пр.Ленина, д.17	/static/images/tik.png	18,32	-9,-32
88	55.3148334943	50.1378565282	Алексеевский район	Республика Татарстан (Татарстан), Алексеевский район, п.г.т.Алексеевское, ул.Павелкина, д.18	/static/images/tik.png	18,32	-9,-32
89	54.9041929879	49.9293090776	Алькеевский район	Алькеевский район, Республика Татарстан (Татарстан), с.Базарные Матаки, ул. Крайнова, д. 58	/static/images/tik.png	18,32	-9,-32
90	54.9009169446	52.2958259471	Альметьевский район	Республика Татарстан (Татарстан), Альметьевский район, г.Альметьевск, ул.Ленина, д.39	/static/images/tik.png	18,32	-9,-32
92	56.0902389953	49.880267065	Арский район	Республика Татарстан (Татарстан), Арский район, г.Арск, площадь Советская, д.14	/static/images/tik.png	18,32	-9,-32
93	56.2509736795	49.4510469027	Атнинский район	Республика Татарстан (Татарстан), Атнинский район, с.Большая Атня, ул.Советская, д.38	/static/images/tik.png	18,32	-9,-32
94	54.4014993154	53.2405643351	Бавлинский район	Республика Татарстан (Татарстан), Бавлинский район, город Бавлы, ул.Горюнова, д.12	/static/images/tik.png	18,32	-9,-32
95	56.3412774637	50.2265052125	Балтасинский район	Республика Татарстан (Татарстан), Балтасинский район, пгт.Балтаси, ул.Ленина, д.42	/static/images/tik.png	18,32	-9,-32
96	54.5406099823	52.7809344605	Бугульминский район	Республика Татарстан (Татарстан), Бугульминский район, г.Бугульма, ул.Гафиатуллина, д.7, каб.106	/static/images/tik.png	18,32	-9,-32
97	54.970750292	48.2957953401	Буинский район	Республика Татарстан (Татарстан), Буинский район, г.Буинск, ул.Жореса, д.110а	/static/images/tik.png	18,32	-9,-32
98	55.772624	49.146748	Казань (Вахитовский район)	Республика Татарстан (Татарстан), город Казань, Приволжский район, ул. Ипподромная, д.18	/static/images/tik.png	18,32	-9,-32
99	55.7672439813	48.9766955562	Верхнеуслонский район	Республика Татарстан (Татарстан), Верхнеуслонский район, с. Верхний Услон, ул. Чехова, д. 18	/static/images/tik.png	18,32	-9,-32
100	55.9333707406	49.3059833162	Высокогорский район	Республика Татарстан (Татарстан), Высокогорский район, пос.ж.д.ст.Высокая Гора, ул.Кооперативная, д.5	/static/images/tik.png	18,32	-9,-32
101	54.8570089753	53.0792403594	Азнакаево	г.Азнакаево, ул.Ленина, д.22	/static/images/tik.png	18,32	-9,-32
102	54.9009419654	52.2971883416	Альметьевск	Республика Татарстан (Татарстан), Альметьевский район, город Альметьевск, ул.Ленина, д.39	/static/images/tik.png	18,32	-9,-32
103	54.4009566883	53.2403350063	Бавлы	Республика Татарстан (Татарстан), Бавлинский район, город Бавлы, ул.Горюнова, д.12	/static/images/tik.png	18,32	-9,-32
104	54.5403651325	52.7806702629	Бугульмы	Республика Татарстан (Татарстан), Бугульминский район, город Бугульма, ул.Гафиатуллина, д.7, каб.312	/static/images/tik.png	18,32	-9,-32
105	54.9703552841	48.2956236787	Буинска	Республика Татарстан (Татарстан), Буинский район, г.Буинск, ул.Жореса, д.110а	/static/images/tik.png	18,32	-9,-32
106	55.7592863414	52.0452082157	Елабуги	Республика Татарстан (Татарстан), Елабужский район, город Елабуга, пр-т.Нефтяников, 30	/static/images/tik.png	18,32	-9,-32
107	55.2999026477	52.0039546676	Заинск	Республика Татарстан (Татарстан), Заинский район, город Заинск, ул.Крупской, д.6	/static/images/tik.png	18,32	-9,-32
108	55.8466487555	48.5018803552	Зеленодольск	Республика Татарстан (Татарстан), Зеленодольский район, город Зеленодольск, ул.Ленина, д.38	/static/images/tik.png	18,32	-9,-32
109	54.5988677631	52.4421751499	Лениногорск	Республика Татарстан (Татарстан), Лениногорский район, город Лениногорск, ул.Кутузова, д.1	/static/images/tik.png	18,32	-9,-32
110	55.6307826834	51.8193494529	Нижнекамск	Республика Татарстан (Татарстан), Нижнекамский район, г.Нижнекамск, пр.Строителей, д.12	/static/images/tik.png	18,32	-9,-32
111	54.4295712078	50.8158701845	Нурлат	Республика Татарстан (Татарстан), Нурлатский район, г.Нурлат, ул.Школьная, д.7	/static/images/tik.png	18,32	-9,-32
112	55.3734001485	50.6608651578	Чистополь	Республика Татарстан (Татарстан), Чистопольский район, город Чистополь, ул.Бебеля, д.129	/static/images/tik.png	18,32	-9,-32
114	55.7529960499	52.0225118659	Елабужский район	Республика Татарстан (Татарстан), Елабужский район, город Елабуга, пр. Нефтяников, д.30	/static/images/tik.png	18,32	-9,-32
115	55.299808345	52.0030806027	Заинский район	Республика Татарстан (Татарстан), Заинский район, г.Заинск, ул. Крупской, д.6	/static/images/tik.png	18,32	-9,-32
116	55.8469383914	48.5015841387	Зеленодольский район	Республика Татарстан (Татарстан), Зеленодольский район, г.Зеленодольск, ул.Ленина, д.38	/static/images/tik.png	18,32	-9,-32
117	55.4030120232	48.1901619025	Кайбицкий район	Республика Татарстан (Татарстан), Кайбицкий район, с.Большие Кайбицы, ул.Солнечный бульвар, д.7	/static/images/tik.png	18,32	-9,-32
118	55.2036409259	49.2647567578	Камско-Устьинский район	Республика Татарстан (Татарстан), Камско-Устьинский район, п.г.т.Камское Устье, ул.Калинина, д.31	/static/images/tik.png	18,32	-9,-32
119	55.833921	49.057995	Казань (Кировский район)	Республика Татарстан (Татарстан), город Казань, Московский район, ул. Восстания, д.82	/static/images/tik.png	18,32	-9,-32
120	55.68686	52.304655	Набережные Челны (Комсомольский район)	Республика Татарстан (Татарстан), г.Набережные Челны, Комсомольский район, пр-т Мусы Джалиля, д.56	/static/images/tik.png	18,32	-9,-32
121	56.1816368293	50.9108121693	Кукморский район	Республика Татарстан (Татарстан), Кукморский район, ул. Ленина, д.15	/static/images/tik.png	18,32	-9,-32
122	55.4026619337	49.5458579622	Лаишевский район	Республика Татарстан (Татарстан), Лаишевский район, г.Лаишево, ул Первомайская, д.39	/static/images/tik.png	18,32	-9,-32
123	54.5988428461	52.4423870444	Лениногорский район	Республика Татарстан (Татарстан), Лениногорский район, город Лениногорск, ул.Кутузова, д.1	/static/images/tik.png	18,32	-9,-32
124	55.7181878164	51.4151998982	Мамадышский район	Республика Татарстан (Татарстан), Мамадышский район, г.Мамадыш, ул. М. Джалиля, д.23/33	/static/images/tik.png	18,32	-9,-32
125	55.8932474177	52.3161788844	Менделеевский район	Республика Татарстан (Татарстан), Менделеевский район, г.Менделеевск, ул.Фомина, д.7	/static/images/tik.png	18,32	-9,-32
126	55.7208710433	53.1037810631	Мензелинский район	Республика Татарстан (Татарстан), Мензелинский район, г.Мензелинск, ул.Ленина, д.80	/static/images/tik.png	18,32	-9,-32
127	55.833921	49.057995	Казань (Московский район)	Республика Татарстан (Татарстан), город Казань, Московский район, ул. Восстания, д. 82	/static/images/tik.png	18,32	-9,-32
128	55.2998897361	53.1934077479	Муслюмовский район	Республика Татарстан (Татарстан), Муслюмовский район, ул. Пушкина, д.41	/static/images/tik.png	18,32	-9,-32
129	55.6310269877	51.8191295117	Нижнекамский район	Республика Татарстан (Татарстан), Нижнекамский район, г.Нижнекамск, пр. Строителей, д.12	/static/images/tik.png	18,32	-9,-32
130	55.831984	49.102399	Казань (Ново-Савиновский район)	Республика Татарстан (Татарстан), город Казань, Ново-Савиновский район, ул.Волгоградская, д.32	/static/images/tik.png	18,32	-9,-32
131	55.0658163213	51.2450003251	Новошешминский район	Республика Татарстан (Татарстан), Новошешминский район, с.Новошешминск, ул.Советская, д.80	/static/images/tik.png	18,32	-9,-32
132	54.4279120717	50.8061332628	Нурлатский район	Республика Татарстан (Татарстан), Нурлатский район, ул.Советская, д.117	/static/images/tik.png	18,32	-9,-32
133	55.7493511095	49.6576873027	Пестречинский район	Республика Татарстан (Татарстан), Пестречинский район, с.Пестрецы, ул.Советская, д.18	/static/images/tik.png	18,32	-9,-32
134	55.772218	49.147	Казань (Приволжский район)	Республика Татарстан, город Казань, Приволжский район, ул. Ипподромная, д.17	/static/images/tik.png	18,32	-9,-32
135	55.4622084147	50.1460894011	Рыбно-Слободский район	Республика Татарстан (Татарстан), Рыбно-Слободский район, п.г.т. Рыбная Слобода, ул.Ленина, д.46	/static/images/tik.png	18,32	-9,-32
136	56.0083229197	50.4519120231	Сабинский район	Республика Татарстан (Татарстан), Сабинский район, п.г.т.Богатые Сабы, ул.Гали Закирова, д.52	/static/images/tik.png	18,32	-9,-32
137	55.2507953938	52.5916987471	Сармановский район	Республика Татарстан (Татарстан), Сармановский район, с.Сарманово, ул.Ленина, д.35	/static/images/tik.png	18,32	-9,-32
138	55.792569	49.176725	Казань (Советский район)	Республика Татарстан (Татарстан), город Казань, Советский район, ул. Шуртыгина, д. 1	/static/images/tik.png	18,32	-9,-32
139	54.9754862251	49.0317710303	Спасский район	Республика Татарстан (Татарстан), Спасский район, г.Болгар, ул.Пионерская, д.19	/static/images/tik.png	18,32	-9,-32
140	54.9360537095	48.8305880874	Тетюшский район	Республика Татарстан (Татарстан), Тетюшский район, г.Тетюши, пл.Свободы, д.45	/static/images/tik.png	18,32	-9,-32
141	55.6827012354	52.2983814217	Набережные Челны (Тукаевский район)	г.Набережные Челны, Республика Татарстан (Татарстан), пр.М.Джалиля, д.46	/static/images/tik.png	18,32	-9,-32
142	55.890289048	50.231054239	Тюлячинский район	Республика Татарстан (Татарстан), Тюлячинский район, с.Тюлячи, ул.Ленина, д.40	/static/images/tik.png	18,32	-9,-32
143	55.7442925168	52.4178136513	Набережные Челны (Центральный район)	Республика Татарстан (Татарстан), г.Набережные Челны, Центральный район, б-р Энтузиастов, д.11	/static/images/tik.png	18,32	-9,-32
144	54.6548541803	51.5071926266	Черемшанский район	Республика Татарстан (Татарстан), Черемшанский район, с.Черемшан, ул.Советская, д.32	/static/images/tik.png	18,32	-9,-32
145	55.373497903	50.6606183946	Чистопольский район	Республика Татарстан (Татарстан), Чистопольский район, г. Чистополь, ул. Бебеля, д.129	/static/images/tik.png	18,32	-9,-32
146	54.5965013606	53.4686843678	Ютазинский район	Республика Татарстан (Татарстан), Ютазинский район, п.г.т.Уруссу, ул.Пушкина, д.38	/static/images/tik.png	18,32	-9,-32
147	43.115437	131.883086	Приморский край	Приморский край, город Владивосток, Светланская, 22	/static/images/tik.png	18,32	-9,-32
148	43.113509	131.924418	Владивосток (Ленинский район)	Приморский край, город Владивосток, Ленинский район, Муравьёва-Амурского, 11/13	/static/images/tik.png	18,32	-9,-32
149	44.155707	133.2681	Арсеньев	Приморский край, город Арсеньев, Ленинская, 8, каб. № 56	/static/images/tik.png	18,32	-9,-32
150	42.781136978	132.851274982	Находка	Приморский край, город Находка, Находкинский проспект, 16	/static/images/tik.png	18,32	-9,-32
151	43.8030127483	131.952979043	Уссурийск	Приморский край, город Уссурийск, Ленина, 101	/static/images/tik.png	18,32	-9,-32
152	44.2739191455	135.053078234	Кавалеровский район	п.Кавалерово, Арсеньева, 104	/static/images/tik.png	18,32	-9,-32
153	45.0910780303	133.498980012	Кировский район	Приморский край, Кировский район, пгт. Кировский, Советская, 57	/static/images/tik.png	18,32	-9,-32
154	43.3815222286	133.903712947	Лазовский район	Приморский край, Лазовский район, с. Лазо, Некрасовская, 31	/static/images/tik.png	18,32	-9,-32
155	43.932933	132.010072	Михайловский район	Приморский край, Михайловский район, с. Михайловка, Красноармейская, 16	/static/images/tik.png	18,32	-9,-32
156	43.3723455926	131.989970896	Надеждинский район	Приморский край, Надеждинский район, с.Вольно-Надеждиинское, Пушкина, 57-А	/static/images/tik.png	18,32	-9,-32
157	43.945856	131.639786	Октябрьский район	Приморский край, Октябрьский район, с.Покровка, Карла Маркса, 85	/static/images/tik.png	18,32	-9,-32
158	43.750717124	135.293299053	Ольгинский район	Приморский край, Ольгинский район, пгт. Ольга, Ленинская, 8	/static/images/tik.png	18,32	-9,-32
159	43.0921102345	131.889051441	Владивосток (Первомайский район)	Приморский край, город Владивосток, Первомайский район, Калинина, 116	/static/images/tik.png	18,32	-9,-32
160	43.1492512505	131.910609193	Первореченский район	Приморский край, город Владивосток, Первореченский район, Ильичёва, 15	/static/images/tik.png	18,32	-9,-32
161	44.407873	131.382958	Пограничный район	Приморский край, Пограничный район, пгт.Пограничный, Советская, 31	/static/images/tik.png	18,32	-9,-32
162	43.1710132808	131.916738376	Владивосток (Советский район)	Приморский край, город Владивосток, Советский район, 100-летия Владивостока, 94	/static/images/tik.png	18,32	-9,-32
163	44.58669	132.812914	Спасск-Дальний	Приморский край, город Спасск-Дальний, Борисова, 17	/static/images/tik.png	18,32	-9,-32
164	44.58669	132.812914	Спасский район	Приморский край, город Спасск-Дальний, Ленинская, 27	/static/images/tik.png	18,32	-9,-32
165	45.0498049866	136.607513241	Тернейский район	Приморский край, Тернейский район, п.Терней, Ивановская, 2	/static/images/tik.png	18,32	-9,-32
166	43.117675	131.886042	Владивосток (Фрунзенский район)	Приморский край, город Владивосток, Фрунзенский район, Адмирала Фокина, 25	/static/images/tik.png	18,32	-9,-32
167	44.735144	132.039627	Ханкайский район	Приморский край, Ханкайский район, с.Камень-Рыболов, Кирова, 8	/static/images/tik.png	18,32	-9,-32
168	44.424523	132.074086	Хорольский район	Приморский край, Хорольский район, с.Хороль, Ленинская, 51	/static/images/tik.png	18,32	-9,-32
169	44.338898	132.56268	Черниговский район	Приморский край, с. Черниговка, Буденного, 23	/static/images/tik.png	18,32	-9,-32
170	44.159956	133.870025	Чугуевский район	Приморский край, Чугуевский район, с. Чугуевка, 50 лет Октября, 193	/static/images/tik.png	18,32	-9,-32
